name,url,href,author,comment_count,follower
Steins Gate,https://i.pinimg.com/236x/92/96/c0/9296c0db61e63f24ddb50521845275a0.jpg,/pin/288652657381706372/,Author not found,Comments,3k
Steins Gate,https://i.pinimg.com/236x/1c/8e/53/1c8e53cb5e3ffc200457f772f6ee64c5.jpg,/pin/4292562139124134/,Author not found,1 Comment,3k
Steins Gate,https://i.pinimg.com/736x/6b/2e/fc/6b2efc40fe1d80630ac85cc65ba46c30.jpg,/pin/924645367244106011/,Uriel ByrneMAC,Comments,1
Steins Gate,https://i.pinimg.com/236x/6c/b4/cf/6cb4cf5c159e7fd4318d39dd918a2ca9.jpg,/pin/71142869158635452/,Author not found,2 Comments,15k
Steins Gate,https://i.pinimg.com/236x/cb/4c/98/cb4c98e2cb370d6f110ea494e626e989.jpg,/pin/293859944453525180/,Author not found,Comments,66
Steins Gate,https://i.pinimg.com/236x/b7/5e/bf/b75ebf78f47d516d5654260bd9000320.jpg,/pin/16044142408164741/,Cemre,Comments,274followers
Steins Gate,https://i.pinimg.com/236x/b4/c6/57/b4c657d7aef43fae5542bc444cf6bdd1.jpg,/pin/52072939433532019/,Author not found,Comments,219k
Steins Gate,https://i.pinimg.com/474x/59/0d/58/590d583c0fca62f34d4ef4f7da541d74.jpg,/pin/918241811515523030/,₳ᥒіmᥱs ₩ᥲᥣᥣ⍴ᥲ⍴ᥱrs 🕷,Comments,6.2k
Steins Gate,https://i.pinimg.com/236x/f0/94/3a/f0943a118aea8c0eaf3265bf267b9c57.jpg,/pin/64317100923565859/,Azalin,Comments,63followers
Steins Gate,https://i.pinimg.com/474x/1b/87/da/1b87da6e69b922f12681c2987d901077.jpg,/pin/726909196136856341/,Monde ADN | Animés & Mangas | Boutique Figurines,Comments,127
Steins Gate,https://i.pinimg.com/236x/c6/0e/3b/c60e3b452d47d140b1aae43e3c9f6871.jpg,/pin/5348093301705322/,Cheape,Comments,77followers
Steins Gate,https://i.pinimg.com/236x/a6/ce/28/a6ce2853d9c61c817c2f79c12c52fecf.jpg,/pin/10696117855392226/,Author not found,Comments,7k
Steins Gate,https://i.pinimg.com/236x/02/1d/3e/021d3e0e3192688adeaa1a2cb49c0e99.jpg,/pin/1196337390692244/,Margaufre,Comments,278followers
Steins Gate,https://i.pinimg.com/236x/3e/d8/dc/3ed8dce863b2b07c02a99f8aa15eee88.jpg,/pin/5629568273986854/,Author not found,Comments,50
